,date,opera,language,composer,artist_popularity
0,2007-09-24,Lucia di Lammermoor,Italian,Donizetti,85
1,2007-09-27,Lucia di Lammermoor,Italian,Donizetti,79
2,2007-09-29,Aida,Italian,Verdi,132
3,2007-10-01,Lucia di Lammermoor,Italian,Donizetti,79
4,2007-10-02,Le Nozze di Figaro,Italian,Mozart,209
5,2007-10-04,Aida,Italian,Verdi,120
6,2007-10-05,Lucia di Lammermoor,Italian,Donizetti,74
7,2007-10-06,Le Nozze di Figaro,Italian,Mozart,105
8,2007-10-09,Lucia di Lammermoor,Italian,Donizetti,79
9,2007-10-10,Le Nozze di Figaro,Italian,Mozart,71
10,2007-10-13,Le Nozze di Figaro,Italian,Mozart,105
11,2007-10-13,Lucia di Lammermoor,Italian,Donizetti,79
12,2007-10-16,Aida,Italian,Verdi,139
13,2007-10-17,Lucia di Lammermoor,Italian,Donizetti,58
14,2007-10-18,Le Nozze di Figaro,Italian,Mozart,105
15,2007-10-20,Aida,Italian,Verdi,67
16,2007-10-20,Lucia di Lammermoor,Italian,Donizetti,58
17,2007-10-22,Macbeth,Italian,Verdi,77
18,2007-10-24,Aida,Italian,Verdi,75
19,2007-10-25,Lucia di Lammermoor,Italian,Donizetti,61
20,2007-10-26,Macbeth,Italian,Verdi,77
21,2007-10-27,Aida,Italian,Verdi,93
22,2007-10-29,Die Zauberflöte,German,Mozart,262
23,2007-10-30,Aida,Italian,Verdi,75
24,2007-10-31,Macbeth,Italian,Verdi,77
25,2007-11-01,Die Zauberflöte,German,Mozart,238
26,2007-11-02,Aida,Italian,Verdi,77
27,2007-11-03,La Traviata,Italian,Verdi,116
28,2007-11-03,Macbeth,Italian,Verdi,77
29,2007-11-05,Aida,Italian,Verdi,81
30,2007-11-06,Die Zauberflöte,German,Mozart,238
31,2007-11-07,La Traviata,Italian,Verdi,116
32,2007-11-08,Aida,Italian,Verdi,81
33,2007-11-09,Die Zauberflöte,German,Mozart,238
34,2007-11-10,La Traviata,Italian,Verdi,116
35,2007-11-10,Le Nozze di Figaro,Italian,Mozart,147
36,2007-11-12,Norma,Italian,Bellini,74
37,2007-11-13,Die Zauberflöte,German,Mozart,242
38,2007-11-14,Le Nozze di Figaro,Italian,Mozart,147
39,2007-11-15,La Traviata,Italian,Verdi,116
40,2007-11-16,Norma,Italian,Bellini,74
41,2007-11-17,Die Zauberflöte,German,Mozart,242
42,2007-11-17,Le Nozze di Figaro,Italian,Mozart,147
43,2007-11-19,Norma,Italian,Bellini,74
44,2007-11-20,Die Zauberflöte,German,Mozart,222
45,2007-11-21,Le Nozze di Figaro,Italian,Mozart,147
46,2007-11-23,Norma,Italian,Bellini,74
47,2007-11-24,Die Zauberflöte,German,Mozart,161
48,2007-11-24,Le Nozze di Figaro,Italian,Mozart,147
49,2007-11-26,Norma,Italian,Bellini,83
50,2007-11-27,Iphigénie en Tauride,French,Gluck,179
51,2007-11-28,Le Nozze di Figaro,Italian,Mozart,147
52,2007-11-30,Norma,Italian,Bellini,55
53,2007-12-01,Iphigénie en Tauride,French,Gluck,144
54,2007-12-01,Le Nozze di Figaro,Italian,Mozart,147
55,2007-12-04,Norma,Italian,Bellini,83
56,2007-12-05,Iphigénie en Tauride,French,Gluck,144
57,2007-12-07,Norma,Italian,Bellini,83
58,2007-12-08,Iphigénie en Tauride,French,Gluck,158
59,2007-12-11,Iphigénie en Tauride,French,Gluck,144
60,2007-12-14,Iphigénie en Tauride,French,Gluck,144
61,2007-12-19,Iphigénie en Tauride,French,Gluck,144
62,2007-12-22,Iphigénie en Tauride,French,Gluck,144
63,2007-12-24,Hänsel und Gretel,German,Humperdinck,156
64,2007-12-29,Hänsel und Gretel,German,Humperdinck,156
65,2008-01-01,Hänsel und Gretel,German,Humperdinck,156
66,2008-01-04,Hänsel und Gretel,German,Humperdinck,156
67,2008-01-05,Macbeth,Italian,Verdi,77
68,2008-01-07,Die Walküre,German,Wagner,137
69,2008-01-08,Hänsel und Gretel,German,Humperdinck,134
70,2008-01-09,Macbeth,Italian,Verdi,77
71,2008-01-11,Hänsel und Gretel,German,Humperdinck,156
72,2008-01-12,Il Barbiere di Siviglia,Italian,Rossini,143
73,2008-01-12,Macbeth,Italian,Verdi,77
74,2008-01-14,Die Walküre,German,Wagner,135
75,2008-01-15,Macbeth,Italian,Verdi,51
76,2008-01-22,Il Barbiere di Siviglia,Italian,Rossini,26
77,2008-01-23,Hänsel und Gretel,German,Humperdinck,156
78,2008-01-26,Hänsel und Gretel,German,Humperdinck,156
79,2008-01-26,Il Barbiere di Siviglia,Italian,Rossini,26
80,2008-01-28,Die Walküre,German,Wagner,121
