,opera,track,act,scene_type,track_popularity
329,Adriana Lecouvreur,Adriana Lecouvreur Il Principe di Bouillon,1.02,septet,0
331,Adriana Lecouvreur,Adriana Lecouvreur Eccoci soli alfin,1.06,recitative,0
335,Adriana Lecouvreur,Adriana Lecouvreur Ecco il monologo,1.12,aria,0
341,Adriana Lecouvreur,Adriana Lecouvreur Amore e fiamma,2.04,recitative,0
342,Adriana Lecouvreur,Adriana Lecouvreur Vi cogliam Conte sul fatto,2.05,recitative,0
343,Adriana Lecouvreur,Adriana Lecouvreur Eccovi alfin Divina,2.06,recitative,0
344,Adriana Lecouvreur,Adriana Lecouvreur Ma dunque e vero,2.07,recitative,0
345,Adriana Lecouvreur,Adriana Lecouvreur Signor Abate,2.08,recitative,0
346,Adriana Lecouvreur,Adriana Lecouvreur Adriana ascoltate,2.09,recitative,0
365,Adriana Lecouvreur,Adriana Lecouvreur Dio venite Adriana,4.12,recitative,0
544,Falstaff,Falstaff Pizzica pizzica,3.11-2 ,"recitative,ensemble",0
347,Adriana Lecouvreur,Adriana Lecouvreur Ebbene che granchio,2.10,recitative,0
351,Adriana Lecouvreur,Adriana Lecouvreur Voi Principessa,3.02,recitative,0
352,Adriana Lecouvreur,Adriana Lecouvreur Il Conte di Sassonia,3.04,sextet,0
357,Adriana Lecouvreur,Adriana Lecouvreur Giusto cielo,3.08,recitative,0
358,Adriana Lecouvreur,Adriana Lecouvreur So ch'ella dorme,4.02,recitative,0
360,Adriana Lecouvreur,Adriana Lecouvreur Lieta sorpresa,4.04,sextet,0
361,Adriana Lecouvreur,Adriana Lecouvreur Una volta c'era un Principe,4.05,quartet,0
362,Adriana Lecouvreur,Adriana Lecouvreur Un cofanetto scusate,4.06,sextet,0
363,Adriana Lecouvreur,Adriana Lecouvreur No la mia fronte,4.10-1 ,duet,0
348,Adriana Lecouvreur,Adriana Lecouvreur Sia..aprite,2.11-1 ,recitative,0
349,Adriana Lecouvreur,Adriana Lecouvreur Non risponde,2.11-2 ,,0
391,Die Zauberflöte,Die Zauberflöte He lichter her!,2.06,spoken,0
364,Adriana Lecouvreur,Adriana Lecouvreur Che tu tremi trascolori,4.11,recitative,0
380,Die Zauberflöte,Die Zauberflöte Wie stark is nicht dein Zauberton,1.18,aria,0
127,Aida,Aida Su dunque sorgete,3.07-2 ,aria,0
138,Aida,Aida Le gole Di Napata,3.14-2 ,recitative,0
139,Aida,Aida Ah! no ti calma ascoltami,3.15,recitative,0
141,Aida,Aida Muori.. arresta insano,3.16-2 ,recitative,0
143,Aida,Aida Io l'amo io l'amo sempre,4.01-2 ,aria,0
145,Aida,Aida Morire ah tu dei vivere,4.03,aria,0
149,Aida,Aida Spirito del Nume sovra noi discendi,4.08,duet,0
155,Aida,Aida Immenso Ftha del mondo,4.15,,0
96,Aida,Aida Ohimé di guerra fremère,1.05-3,recitative,0
366,Adriana Lecouvreur,Adriana Lecouvreur Ecco la luce,4.13,recitative,0
56,Carmen,Carmen La cloche a sonnee,1.05,choir,0
83,Carmen,Carmen Moi je viens te chercher!,3.08,,0
89,Carmen,Carmen Ou vas - tu Laisse - moi,3.15,"duet,choir",0
735,Das Rheingold,Das Rheingold Umsonst sucht ich,2,aria,0
736,Das Rheingold,Das Rheingold Hieher dorthin hehe hoho!,3,aria,0
664,Die Walküre,Die Walküre Ho jo to ho,2.03,aria,0
675,Die Walküre,Die Walküre Kehrte der Vater nun heim,2.14,recitative,0
676,Die Walküre,Die Walküre Wo ist Brunnhilde,3.04,recitative,0
