,opera,composer,language
0,A Hand of Bridge,Barber,English
2,A Quiet Place,Bernstein,English
3,Abu Hassan,Weber,German
6,Acide e Galatea,Haydn,Italian
7,Acis and Galatea,Handel,English
19,Adelaide di Borgogna,Rossini,Italian
22,Adelson e Salvini,Bellini,Italian
55,Adriana Lecouvreur,Cilea,Italian
66,Aroldo,Verdi,Italian
107,Aegyptische Helena,Strauss,German
108,Agrippina,Handel,Italian
123,Aida,Verdi,Italian
208,Akhnaten,Glass,English
209,Albert Herring,Britten,English
237,Alceste,Gluck,French
248,Alcina,Handel,Italian
270,Hamlet,Thomas,French
321,Aleko,Rachmaninov,Russian
322,Alessandro Stradella,Flotow,German
324,Alfredo il Grande,Donizetti,Italian
326,Ali Baba,Cherubini,
327,Alma de Dios,Serrano,Italian
328,Alzira,Verdi,Italian
361,Amahl and the Nightvisitors,Menotti,English
364,Amant Jaloux,Gretry,French
365,Amica,Mascagni,Italian
367,Amico Fritz,Mascagni,Italian
379,Andrea Chenier,Giordano,Italian
434,Anna Bolena,Donizetti,Italian
488,Antigona,Traette,Italian
491,Antony and Cleopatra,Barber,English
494,Apollo et Hyacinthus,Mozart,Latin
513,Arabella,Strauss,German
522,Ariadne auf Naxos,Strauss,German
529,Ariane,Monteverdi,Italian
531,Ariane et Barbebleue,Dukas,French
533,Ariodante,Handel,Italian
541,Arlesiana,Cilea,Italian
582,Armida,Rossini,Italian
586,Armida,Haydn,Italian
649,Ascanio in Alba,Mozart,Italian
704,Assedio di Calais,Donizetti,Italian
705,Assedio di Corinto,Rossini,French
707,Attaque du moulin,Bruneau,French
708,Attila,Verdi,Italian
741,Aufstieg und Fall der Stadt Mahagonny,Weill,German
762,Aureliano in Palmira,Rossini,Italian
763,Bastien und Bastienne,Mozart,German
779,Bianca e Fernando,Bellini,Italian
782,Billy Budd,Britten,English
790,Boris Godunov,Mussorgsky,Russian
794,Béatrice di Tenda,Bellini,Italian
797,Béatrice et Bénedict,Berlioz,French
802,Carmen,Bizet,French
841,Casanova's Homecoming,Argento,English
844,Cavalleria Rusticana,Mascagni,Italian
848,Chatterton,Leoncavallo,Italian
849,Cherubin,Massenet,French
850,Chovantsjina,Mussorgsky,Russian
851,Clivia,Dostal,German
860,Combattimento Tancredi,Monteverdi,Italian
861,Comte Ory,Rossini,French
868,Cosi Fan Tutte,Mozart,Italian
943,Csardasfürstin,Kalman,German
967,Cyrano de Bergerac,Alfano,Italian
968,Dame Blanche,Boieldieu,French
976,Daphne,Strauss,German
982,Das Liebesverbot,Wagner,German
993,Das Rheingold,Wagner,German
1004,Del Manoja de Rosas,Sorozabal,Italian
1005,Demon de,Rubinstein,German
1006,Der Barbier von Bagdad,Cornelius,German
1010,Der Corregidor,Wolf,German
1014,Der Evangeliemann,Kienzl,German
1017,Der Fliegende Holländer,Wagner,German
1048,Der Frau ohne Schatten,Strauss,German
1051,Der Freischütz,Weber,German
1073,Der Jakobiner,Dvorak,Czech
1075,Der Liebe Augustin,Fall,German
1083,Der Rosenkavalier,Strauss,German
1101,Der Silbersee,Weill,German
1103,Der Tapfere Soldat,Strauss,English
1104,Der Vögelhändler,Zeller,German
1106,Der Waffenschmied,Lortzing,German
1117,Der Wildschütz,Lortzing,German
1126,Der Zarewitsch,Léhar,German
1129,Der Zigeunerbaron,Strauss jr,German
1159,Deutsche Messe,Schubert,German
1160,Devin du Village,Rousseau,French
1171,Dialogues Carmelites,Poulenc,French
1174,Dido and Aeneas,Purcell,English
1216,Die Dreigroschenoper,Weill,German
1238,Die Entführung aus dem Serail,Mozart,German
1282,Die Feen,Wagner,German
1291,Die Fledermaus,Strauss jr,German
1333,Die Kluge,Orff,German
1336,Die Königskinder,Humperdinck,German
1339,Die Lustige Weiber von Windsor,Nicolai,German
1356,Die Lustige Witwe,Léhar,German
1368,Die Meistersinger von Nürnberg,Wagner,German
1390,Die Opernprobe,Lortzing,German
1392,Die Schöne Galathee,Suppé,German
1393,Die Tote Stadt,Korngold,German
1404,Die Toten Augen,Albert,German
1405,Die Verkaufte Braut,Smetana,Czech
1410,Die Verkaufte Braut,Glinka,German
1425,Die Walküre,Wagner,German
1461,Die Zauberflöte,Mozart,German
1520,Die Zirkusprinzessin,Kalman,German
1521,Dirna,Hoffmann,German
1522,Djamileh,Bizet,French
1524,Doktor Faust,Busoni,German
1542,Doktor und Apotheker,Dittersdorf,German
1547,Don Carlos,Verdi,Italian
1622,Don Giovanni,Mozart,Italian
1698,Don Pasquale,Donizetti,Italian
1750,Don Quichote,Massenet,French
1754,Don Sebastie Portugal,Donizetti,French
1755,Dona Francisquita,Vives,Spanish
1756,Donne Diane,Reznicek,
1757,Dorilla in tempe,Vivaldi,Italian
1758,Duc d'Albe,Donizetti,French
1760,Edgar,Puccini,Italian
1770,Eine Nacht in Venedig,Strauss jr,German
1796,El Barberillo de Lavapiés,Barbieri,
1797,El Niño,Adams,English
1801,Elektra,Strauss,German
1808,Elisabetta Regina d'Inghilterra,Rossini,Italian
1825,Enfant Prodique,Debussy,French
1826,Enfant et Sortileges,Ravel,French
1839,Enrico di Borgogna,Donizetti,Italian
1841,Ernani,Verdi,Italian
1880,Eugene Onegin,Tchaikovsky,Russian
1896,Euryanthe,Weber,German
1916,Falstaff,Verdi,Italian
1983,Fanciulla del West,Puccini,Italian
1990,Farnace,Vivaldi,Italian
1991,Faust,Gounod,French
2054,Favorit der,Stolz,German
2055,Fedora,Giordano,Italian
2086,Ferne Klang der,Schreker,German
2104,Fiddler on the roof,Bock,English
2105,Fidelio,Beethoven,German
2142,Fosca,Gomes,Italian
2143,Fra Diavolo,Auber,French
2148,Francesca da Rimini,Zandonai,Italian
2156,Francesca di Foix,Donizetti,Italian
2157,Friederike,Léhar,German
2158,Gasparone,Millöcker,German
2159,Gemma di Vergy,Donizetti,Italian
2161,Germania,Franchetti,Italian
2163,Gianni Schicchi,Puccini,Italian
2167,Gianni di Calais,Donizetti,Italian
