,index,opera,track,act,scene_type,track_popularity,youtube_link
0,0,Tosca,Tosca Vissi d'arte vissi d'amore,2.14-1 ,aria,27,http://www.youtube.com/watch?v=NLR3lSrqlww
1,1,Tosca,Tosca E lucevan le stelle,3.03,aria,27,http://www.youtube.com/watch?v=TU5roitYI1s
2,2,Tosca,Tosca Gente la dentro!,1.04-2 ,recitative,23,http://www.youtube.com/watch?v=V14V8cImh8E
3,3,Tosca,Tosca Mario Mario son qui!,1.06,duet,22,http://www.youtube.com/watch?v=Z3MJBRMsOS4
4,4,Tosca,Tosca Mario Cavaradossi?,3.02,duet,22,http://www.youtube.com/watch?v=FRtoEEURoes
5,5,Suor Angelica,Suor Angelica Senza mamma o bimbo tu sei morto,1,aria,22,http://www.youtube.com/watch?v=_KrTQmHKzcw
6,6,Siegfried,Siegfried Brunnhildes Erwachen,,instrumental,21,http://www.youtube.com/watch?v=HJnDoKOjKLE
7,7,Siegfried,Siegfried Heil dir Sonne,3,"aria,finale",21,http://www.youtube.com/watch?v=HJnDoKOjKLE
8,8,Siegfried,Siegfried Ewig war ich,3.03,aria,17,http://www.youtube.com/watch?v=hXsqx0rUZuY
9,9,Siegfried,Siegfried Overture,1.01,instrumental,16,http://www.youtube.com/watch?v=891JUSQplzU
10,10,Siegfried,Siegfried Waldweben,,instrumental,15,http://www.youtube.com/watch?v=yoDpTYDxvq8
11,11,Samson et Dalila,Samson et Dalila Mon coeur s'ouvre a ta voix,2,aria,44,http://www.youtube.com/watch?v=9piRiiZ0C4Q
12,12,Samson et Dalila,Samson et Dalila Bacchanale,,instrumental,33,http://www.youtube.com/watch?v=QbkCfxnoY4A
13,13,Samson et Dalila,Samson et Dalila Printemps qui commence,1,aria,16,http://www.youtube.com/watch?v=xBl7KEgicXM
14,14,Samson et Dalila,Samson et Dalila Amour viens aider ma faiblesse,2,aria,11,http://www.youtube.com/watch?v=Rp8-a4OLZ74
15,15,Samson et Dalila,Samson et Dalila Arretez o mes freres,1,aria,8,http://www.youtube.com/watch?v=eKnPRO7Rt8Q
16,16,Rigoletto,Rigoletto Questa o quella,1.03,aria,46,http://www.youtube.com/watch?v=NWwg_VtrTdg
17,17,Rigoletto,Rigoletto La donna e mobile,4.02,aria,35,http://www.youtube.com/watch?v=8A3zetSuYRg
18,18,Rigoletto,Rigoletto Bella figlia dell'amore,4.04,quartet,28,http://www.youtube.com/watch?v=l6S_kx0gDzc
19,19,Rigoletto,Rigoletto Gualtier malde..,2.08-1 ,,25,http://www.youtube.com/watch?v=YuEDaTysGF8
20,20,Rigoletto,Rigoletto Duca Duca?,3.02-1 ,,23,http://www.youtube.com/watch?v=PjUCK8rdwjY
21,21,Pelléas et Melisande,Pelléas et Melisande Je ne pourrai plus sortir de cette foret,1,aria,7,http://www.youtube.com/watch?v=yWW6LZ8bvpw
