opera1,track_1,track_2,track_3,track_4,track_5,youtube_1,youtube_2,youtube_3,youtube_4,youtube_5,act_1,act_2,act_3,act_4,act_5
Adriana_Lecouvreur1,Io son l'umile ancella,L'anima ho stanca,Acerba volutta,E quella dama al certo,La dolcissima effigie,http://www.youtube.com/watch?v=ImawQV8c8yg,http://www.youtube.com/watch?v=JA094MjJ_P8,http://www.youtube.com/watch?v=BArzd1wOicg,http://www.youtube.com/watch?v=ybX4wlFdgUQ,http://www.youtube.com/watch?v=mEuRpxsEAaA,1.04-2 ,2.03,2.01,3.07,1.09
Adriana_Lecouvreur2,Io son l'umile ancella,L'anima ho stanca,Acerba volutta,E quella dama al certo,La dolcissima effigie,http://www.youtube.com/watch?v=ImawQV8c8yg,http://www.youtube.com/watch?v=JA094MjJ_P8,http://www.youtube.com/watch?v=BArzd1wOicg,http://www.youtube.com/watch?v=ybX4wlFdgUQ,http://www.youtube.com/watch?v=mEuRpxsEAaA,1.04-2 ,2.03,2.01,3.07,1.09
Adriana_Lecouvreur3,Io son l'umile ancella,L'anima ho stanca,Acerba volutta,E quella dama al certo,La dolcissima effigie,http://www.youtube.com/watch?v=ImawQV8c8yg,http://www.youtube.com/watch?v=JA094MjJ_P8,http://www.youtube.com/watch?v=BArzd1wOicg,http://www.youtube.com/watch?v=ybX4wlFdgUQ,http://www.youtube.com/watch?v=mEuRpxsEAaA,1.04-2 ,2.03,2.01,3.07,1.09
Adriana_Lecouvreur4,Io son l'umile ancella,L'anima ho stanca,Acerba volutta,E quella dama al certo,La dolcissima effigie,http://www.youtube.com/watch?v=ImawQV8c8yg,http://www.youtube.com/watch?v=JA094MjJ_P8,http://www.youtube.com/watch?v=BArzd1wOicg,http://www.youtube.com/watch?v=ybX4wlFdgUQ,http://www.youtube.com/watch?v=mEuRpxsEAaA,1.04-2 ,2.03,2.01,3.07,1.09
Adriana_Lecouvreur5,Io son l'umile ancella,L'anima ho stanca,Acerba volutta,E quella dama al certo,La dolcissima effigie,http://www.youtube.com/watch?v=ImawQV8c8yg,http://www.youtube.com/watch?v=JA094MjJ_P8,http://www.youtube.com/watch?v=BArzd1wOicg,http://www.youtube.com/watch?v=ybX4wlFdgUQ,http://www.youtube.com/watch?v=mEuRpxsEAaA,1.04-2 ,2.03,2.01,3.07,1.09
Adriana_Lecouvreur6,Io son l'umile ancella,L'anima ho stanca,Acerba volutta,E quella dama al certo,La dolcissima effigie,http://www.youtube.com/watch?v=ImawQV8c8yg,http://www.youtube.com/watch?v=JA094MjJ_P8,http://www.youtube.com/watch?v=BArzd1wOicg,http://www.youtube.com/watch?v=ybX4wlFdgUQ,http://www.youtube.com/watch?v=mEuRpxsEAaA,1.04-2 ,2.03,2.01,3.07,1.09
Adriana_Lecouvreur7,Io son l'umile ancella,L'anima ho stanca,Acerba volutta,E quella dama al certo,La dolcissima effigie,http://www.youtube.com/watch?v=ImawQV8c8yg,http://www.youtube.com/watch?v=JA094MjJ_P8,http://www.youtube.com/watch?v=BArzd1wOicg,http://www.youtube.com/watch?v=ybX4wlFdgUQ,http://www.youtube.com/watch?v=mEuRpxsEAaA,1.04-2 ,2.03,2.01,3.07,1.09
Adriana_Lecouvreur8,Io son l'umile ancella,L'anima ho stanca,Acerba volutta,E quella dama al certo,La dolcissima effigie,http://www.youtube.com/watch?v=ImawQV8c8yg,http://www.youtube.com/watch?v=JA094MjJ_P8,http://www.youtube.com/watch?v=BArzd1wOicg,http://www.youtube.com/watch?v=ybX4wlFdgUQ,http://www.youtube.com/watch?v=mEuRpxsEAaA,1.04-2 ,2.03,2.01,3.07,1.09
Aida1,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida10,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
